loss,experiment,projector,iteration,top_score_classification_accuracy,class_consistency_loss,_binary_crossentropy
0.5754471106024889,classifier,,,0.8087940812110901,,
0.20175859845506075,l2_triplet_loss,,0.0,0.460837334394455,,
0.3074856832899968,l2_triplet_loss,,1.0,0.4528245329856873,,
0.19674389506466328,l2_triplet_loss,,2.0,0.4505208432674408,,
0.1320359549967972,l2_triplet_loss,,3.0,0.4639423191547394,,
0.3164913461286909,l2_triplet_loss,,4.0,0.4535256326198578,,
0.1763665847844468,l2_triplet_loss,,5.0,0.4616386294364929,,
0.12692203528646273,l2_triplet_loss,,6.0,0.4769631326198578,,
0.1466064353089911,l2_triplet_loss,,7.0,0.4704527258872986,,
0.17424908430518535,l2_triplet_loss,,8.0,0.4572315812110901,,
0.13077257495994368,l2_triplet_loss,,9.0,0.4524238705635071,,
0.6830474482132838,l2_triplet_loss,l2_normalize,0.0,0.6971153616905212,,
0.675475765688297,l2_triplet_loss,l2_normalize,1.0,0.7013221383094788,,
0.6898531396037493,l2_triplet_loss,l2_normalize,2.0,0.6974158883094788,,
0.6821767647679036,l2_triplet_loss,l2_normalize,3.0,0.7009214758872986,,
0.8713435063210244,l2_triplet_loss,l2_normalize,4.0,0.10226362198591232,,
0.9999999228196268,l2_triplet_loss,l2_normalize,5.0,0.10226362198591232,,
0.9999999228196268,l2_triplet_loss,l2_normalize,6.0,0.10226362198591232,,
0.96591443167283,l2_triplet_loss,l2_normalize,7.0,0.10226362198591232,,
0.708836843761114,l2_triplet_loss,l2_normalize,8.0,0.6798878312110901,,
0.6969889054695765,l2_triplet_loss,l2_normalize,9.0,0.6981169581413269,,
0.1524956311346987,l2_triplet_loss,dense_10,0.0,0.4875801205635071,,
0.23701601877436565,l2_triplet_loss,dense_10,1.0,0.4860777258872986,,
0.4615881886416807,l2_triplet_loss,dense_10,2.0,0.5010015964508057,,
0.2762354159305384,l2_triplet_loss,dense_10,3.0,0.4931890964508057,,
0.1069571364653082,l2_triplet_loss,dense_10,4.0,0.5061097741127014,,
0.21259894092322493,l2_triplet_loss,dense_10,5.0,0.4936898946762085,,
0.3778391839064753,l2_triplet_loss,dense_10,6.0,0.4780648946762085,,
0.14832608128050104,l2_triplet_loss,dense_10,7.0,0.4974959790706634,,
0.15786338079040155,l2_triplet_loss,dense_10,8.0,0.5046073794364929,,
0.2651173055368977,l2_triplet_loss,dense_10,9.0,0.4425080120563507,,
0.2369978847758224,l2_triplet_loss,dense_128,0.0,0.41937097907066345,,
0.12004891149281785,l2_triplet_loss,dense_128,1.0,0.4502203464508057,,
0.2883262521623132,l2_triplet_loss,dense_128,2.0,0.41786858439445496,,
0.21913303422759506,l2_triplet_loss,dense_128,3.0,0.4437099397182465,,
0.3463143854169175,l2_triplet_loss,dense_128,4.0,0.43439504504203796,,
0.12486900594264555,l2_triplet_loss,dense_128,5.0,0.4579326808452606,,
0.11640071393683173,l2_triplet_loss,dense_128,6.0,0.4683493673801422,,
0.2271592881118592,l2_triplet_loss,dense_128,7.0,0.4580328464508057,,
0.1602004080419787,l2_triplet_loss,dense_128,8.0,0.45783254504203796,,
0.2579449556979876,l2_triplet_loss,dense_128,9.0,0.4200721085071564,,
0.09984526166040153,l1_triplet_loss,,0.0,0.5719150900840759,,
0.0905533895300976,l1_triplet_loss,,1.0,0.5659054517745972,,
0.05708799579364355,l1_triplet_loss,,2.0,0.5857371687889099,,
0.12111466396126135,l1_triplet_loss,,3.0,0.5336538553237915,,
0.14437106927000107,l1_triplet_loss,,4.0,0.5662059187889099,,
0.0878690848727414,l1_triplet_loss,,5.0,0.5909455418586731,,
0.0726307590513711,l1_triplet_loss,,6.0,0.5743188858032227,,
0.09311965748649807,l1_triplet_loss,,7.0,0.5779246687889099,,
0.11878372961487353,l1_triplet_loss,,8.0,0.5494791865348816,,
0.0594541993904829,l1_triplet_loss,,9.0,0.5737179517745972,,
0.34176323677484804,l1_triplet_loss,l2_normalize,0.0,0.760817289352417,,
0.3306218665570785,l1_triplet_loss,l2_normalize,1.0,0.7692307829856873,,
0.3418513735612997,l1_triplet_loss,l2_normalize,2.0,0.7615184187889099,,
0.3321408583567693,l1_triplet_loss,l2_normalize,3.0,0.7687299847602844,,
0.3466601739518153,l1_triplet_loss,l2_normalize,4.0,0.7573117017745972,,
0.3414725272032695,l1_triplet_loss,l2_normalize,5.0,0.7637219429016113,,
0.3517729212553837,l1_triplet_loss,l2_normalize,6.0,0.7545071840286255,,
0.3450925674958107,l1_triplet_loss,l2_normalize,7.0,0.7527043223381042,,
0.3315949306274072,l1_triplet_loss,l2_normalize,8.0,0.7679286599159241,,
0.33575529342469496,l1_triplet_loss,l2_normalize,9.0,0.7653245329856873,,
0.14030252471946789,l1_triplet_loss,dense_10,0.0,0.5374599099159241,,
0.09808037329014788,l1_triplet_loss,dense_10,1.0,0.5478765964508057,,
0.11912061063011582,l1_triplet_loss,dense_10,2.0,0.5270432829856873,,
0.1131498294517559,l1_triplet_loss,dense_10,3.0,0.4996995329856873,,
0.10410857096413123,l1_triplet_loss,dense_10,4.0,0.5373597741127014,,
0.16490130271874173,l1_triplet_loss,dense_10,5.0,0.5403645634651184,,
0.13529627094734073,l1_triplet_loss,dense_10,6.0,0.5364583134651184,,
0.16283627578955834,l1_triplet_loss,dense_10,7.0,0.5136218070983887,,
0.26907050460823273,l1_triplet_loss,dense_10,8.0,0.5014022588729858,,
0.11366442048501295,l1_triplet_loss,dense_10,9.0,0.5168269276618958,,
0.19178951728640525,l1_triplet_loss,dense_128,0.0,0.4818709790706634,,
